id,host_id,name,neighbourhood_cleansed,cluster_kmeans
1230963,5548847,Amazing apt with a rooftop garden,Nrrebro,1
1234625,856105,Spacious apt in heart of Copenhagen,Nrrebro,4
1235828,6737457,Cool & Nice Bright Flat in Nørrebro,Nrrebro,0
1238231,6750450,"In the green, peaceful, quiet heart of the city",Frederiksberg,0
1248767,6804362,Central child-friendly townhouse,Indre By,1
1250186,6481198,Hyggelig lejlighed i livligt kvarter tæt på alt!,Vesterbro-Kongens Enghave,3
1251892,6729002,Large sunny apt with garden in city,Amager Vest,2
1254082,6832315,Quiet place - close to city & beach,Amager st,4
1272893,6507956,Hus tæt på byen,Bispebjerg,2
1277810,6929262,Unique and creative house close to center,Amager Vest,4
1279893,6964131,"Penthouse, Copenhagen City (Islands Brygge)",Amager Vest,2
1291584,5030730,Sunny apt in central Frederiksberg,Frederiksberg,4
1293615,5366856,Two-storey apartment - two balconys,Nrrebro,4
1293663,126398,Bright & large - in cool Vesterbro,Vesterbro-Kongens Enghave,3
1294117,7036349,Newyorkerapartment 2 min from metro,Amager Vest,0
1294713,7039660,Penthouse with private rooftop,Nrrebro,1
1301100,7074239,Lovely home 130 km2 with balcony,Vesterbro-Kongens Enghave,4
1302512,7081772,Bright & spaceous central Nørrebro,Nrrebro,4
1306978,2130034,Copenhagen cosy in frederiksberg,Frederiksberg,4
1308255,7111699,Charming and perfectly located home,Nrrebro,4
1312191,6997217,CPH central house with green area,Indre By,2
1312995,5373181,Stylish loft in downtown Copenhagen,Indre By,1
1316186,7149507,Bright and cozy apartment by Nørrebroparken,Nrrebro,4
1326743,7200380,Cosy home at Vesterbro/Copenhagen,Vesterbro-Kongens Enghave,4
1329114,7211957,Hyggelig lejlighed og Centralt beliggende,Nrrebro,4
1329657,7213710,Best location @ cool sunny Nørrebro apartment,Nrrebro,0
1330929,7219233,two rooms and livingroomkitchen,sterbro,0
1335715,6581344,Lejlighed i København,Amager Vest,4
1339993,7267397,Terraced house perfect for families - Metro 200 m.,Vesterbro-Kongens Enghave,2
1340127,6042948,"Sunny apartment, childfriendly",Nrrebro,2
1343696,7287527,Bright central penthouse,Amager st,0
1344956,7296433,Apartment w garden in Copenhagen,sterbro,4
1346411,6861510,Spacious appartement Nørrebro,Nrrebro,0
1346718,7306193,Design condo with view+atmosphere,Amager st,0
1347514,7311185,Placed in best area in Copenhagen - Fredriksstaden,Indre By,1
1349276,7320641,"Copenhagen, green parks and culture",Frederiksberg,1
1361672,2022912,Allotment garden house,Amager Vest,0
1362346,7395202,"Cosy, spacious apartment, up to 6 visitors",Nrrebro,4
1366429,7415320,"Private terace, big home near metro, free parking",Nrrebro,1
1382160,6355510,Stay at the best address in town.,Indre By,1
1389364,7514853,"Stylish villa, roofgarden and beach",sterbro,1
1389542,7230768,Big childfriendly apart. w garden,Nrrebro,4
1390151,7517917,Wohnung in Kopenhagen,Indre By,0
1392292,7526821,Christianshavn peaceful location close to Nyhavn,Indre By,0
1394879,7538843,Familyfriendly apartment in city,Indre By,4
1402312,7526378,3 rooms with balcony in central Copenhagen,Vesterbro-Kongens Enghave,4
1405532,6063782,Quiet spot and great views in lovely Nørrebro,Nrrebro,0
1407934,7593569,Large central appartement. Perfect for families,sterbro,4
1414254,7622133,Ideal for couples & small groups by Nyhavn canals,Indre By,1
1421279,7650981,Lovely Home by Beach & City,Amager st,0
1423825,7662897,Private room at Christianshavn,Indre By,0
1442435,7745237,Cosy room in Copenhagen Copenhagen,Valby,0
1457834,7817115,Familievenlig og lys lejlighed,Vesterbro-Kongens Enghave,4
1487657,617382,Bright & cozy apt. close to park,Frederiksberg,0
1487770,3593327,Cozy apartment in Vesterbro,Vesterbro-Kongens Enghave,3
1496309,7799205,Light and charming by the lakes,sterbro,0
1503710,8034329,"Charming Houseboat, center of city",Vesterbro-Kongens Enghave,3
1519172,8107973,"Lovely apartment, Copenhagen 3rooms",Nrrebro,4
1533478,4657316,Penthouse in the heart of CPH - with sunny balcony,sterbro,0
1556320,3911874,"Central, Cozy and comfortable in CPH",Indre By,4
1557373,8290269,Wonderful room - VERY CENTRAL!,Indre By,0
1560724,1231006,Light and cosy rooftop apartment,Frederiksberg,0
1577506,7429725,privat room in a nice area.,sterbro,0
1577888,8386802,"Cozy, bright flat + WIFI + bikes.",Indre By,0
1578149,6078531,Light and spacious near metro,Frederiksberg,0
1583050,8427988,Lovely and quiet in central Cph,Vesterbro-Kongens Enghave,3
1588376,8483631,Bo midt i Nørrebros grønne oase,Nrrebro,4
1592510,5639510,Farverigt familiehjem,Valby,2
1602392,8530810,Skøn lejlighed ved Nørrebro st.,Bispebjerg,0
1606435,2602709,central and stylish flat with WIFI,Indre By,0
1618565,200211,Modern family friendly town house,Amager Vest,4
1623589,8633669,Great spacius family apartment,Vesterbro-Kongens Enghave,2
1632744,8211663,Charming apartment with garden.,sterbro,0
1636059,8674216,One room in basement,Amager st,0
1644334,8726926,The city within the city!,Frederiksberg,4
1653195,8767019,Exceptionel Apartment at the Canal,Indre By,2
1660132,2229850,Charming house with private garden,Amager st,4
1668377,8832361,Classic & quiet apartment in center,Indre By,4
1669801,8841180,Charming & quiet with huge balcony,Vesterbro-Kongens Enghave,3
1677765,8874013,Bedste beliggenhed - Nyrenoveret,sterbro,4
1679778,8886142,Large & quiet in Copenhagen,Frederiksberg,4
1680610,8486259,Stor lys lejlighed med to solrige altaner Nørrebro,Nrrebro,2
1710543,8928769,Studio apartement in townhouse 30m2,Amager st,0
1714518,8602749,In the heart of the latin quarter,Indre By,0
1726320,6664218,Charming apartment for 2,Frederiksberg,0
1727030,9101400,Lovely and charming villa apartment,Amager st,2
1746070,9189789,"Hel 160 m2 lejlighed, København V",Vesterbro-Kongens Enghave,2
1753637,9223937,Boheme Area Apartment,Vesterbro-Kongens Enghave,3
1765855,9282391,A Stylish Stay in Nørrebro,Nrrebro,4
1771512,9023101,Best location on Frederiksberg!,Frederiksberg,4
1794030,9408481,Cozy vintage flat.,Nrrebro,0
1796682,7819472,Fantastisk husbåd midt i København.,Vesterbro-Kongens Enghave,1
1800309,4819642,Cozy Apartment near Nørrebro St,Bispebjerg,0
1816543,9513793,"Super central, and quiet - hosts 5",Indre By,1
1825225,2654037,Beautiful Nørrebro home with sunny balcony,Nrrebro,0
1834010,9590209,Nice and quiet place in the heart of Copenhagen,Indre By,0
1843185,9537955,Cosy apartment in the heart of Cph,Indre By,0
1875627,9770125,Iconic Lakefront Apartment in Central Copenhagen,Indre By,0
1878554,9782223,Unique apartment in Copenhagen,sterbro,1
1880384,9789573,150 sqm full townhouse near beach & city,sterbro,1
1899884,7413083,Family friendly house near the city,Vesterbro-Kongens Enghave,4
1908371,9808406,Elegant Family Flat – Near City & Metro,Frederiksberg,4
1945602,10063766,Hyggeligt stort værelse for 1,Bispebjerg,0
1947819,2997780,Charming Central Copenhagen apartment,sterbro,4
2004752,10030675,Cozy area right in the center,Indre By,1
2007532,10332739,Close to everything!,Amager Vest,0
2007950,10334406,Copenhagen city center with sunny balcony,Indre By,4
2039980,10464654,Bright and spacious central apt,Nrrebro,4
2053949,10521366,Central apartment with balcony!,Frederiksberg,0
2054312,10522598,Clean and bright 3 room apartm. at Frederiksberg,Frederiksberg,0
2062148,10553504,"140sqm Family friendly, quiet, with balcony",Nrrebro,2
2066635,809324,Wonderful light loft style apartment,Nrrebro,1
2078840,10621751,Central cosy family friendly apartment and garden,Vesterbro-Kongens Enghave,4
2095232,10350925,"Islands Brygge, nær Kbh. C",Amager Vest,0
2105899,9387082,Hyggeligt “Dukkehus” i Vanløse.,Vanlse,0
2129370,10863941,Best view in Copenhagen! New and spacious!,Vesterbro-Kongens Enghave,3
2133401,7288358,Townhouse - 4 bedrooms,Indre By,2
2134417,5377288,2 floor penthouse apartment.,Amager Vest,1
2137852,10426216,New Big House Near City,Amager Vest,2
2147342,10961040,Nice 15 m2 balcony in a green garden,Indre By,0
2164189,11042814,Big & cozy apt. by the canal and metro -free bikes,Amager Vest,0
2200398,5811850,Design oasis by the lakes in Copenhagen,Indre By,4
2200485,11127706,Rustic flat in Trendy Nørrebro w balcony,Nrrebro,0
2222260,2412231,City centre rooftop at great price!,Indre By,4
2245824,11470427,Spacious apartment with 3 balconies,Amager Vest,2
2254890,11514984,Skøn og lys Lejlighed - Valby / København,Valby,4
2261464,11233682,4-bed flat in heart of Copenhagen,Indre By,4
2271817,4558043,Central Copenhagen Lake View,Nrrebro,0
2282736,11658790,City apartment with a historic view,Indre By,0
2297487,11732486,Urban Jungle: A townhouse filled with plants,Valby,4
2323159,11865994,1 Bedroom Apt in Copenhagen.,Valby,0
2323747,9214026,Luxurious  apartment with balcony,Frederiksberg,0
2332269,3812840,The heart of Vesterbro,Vesterbro-Kongens Enghave,4
2350554,12002692,"Sunny balcony, best hood i CPH",Vesterbro-Kongens Enghave,3
2350723,11622893,Vesterbro apt. with private garden.,Vesterbro-Kongens Enghave,4
2362677,2940759,"House with garden near beach, city and metro",Amager st,4
2370736,128102,Spacious family-friendly 5-room on shopping street,sterbro,1
2378723,12151392,"106 m2 designer home, kids friendly",Nrrebro,4
2381707,11150130,"Stor lækker lejlighed, Søndermarken",Valby,4
2388253,7110906,"Charming family house, Copenhagen",Bispebjerg,2
2403733,9656976,Danish design - A house with garden,Frederiksberg,2
2403754,6208977,Beautiful apartment in Copenhagen,Indre By,0
2430907,12424392,104 sqm with two balconies,Vesterbro-Kongens Enghave,4
2442579,2750535,Cosy apartment close to Central Station.,Vesterbro-Kongens Enghave,2
2452011,12537380,Cph home in the middle of the city,Indre By,0
2463144,12596222,Lovely room in inner Nørrebro!,Nrrebro,0
2465786,12608627,"1 room w. balcony, Copenhagen! (Shared appartment)",Bispebjerg,0
2474884,2332582,Copenhagen Family House with Garden,Amager Vest,2
2482618,5431496,Modern flat with space for kids,Nrrebro,2
2485227,4657316,"Spacious & stylish room, best location (room only)",sterbro,0
2493237,12760208,Unique quiet penthouse apartment,Valby,1
2505649,1964219,Large apartment in trendy Vesterbro,Vesterbro-Kongens Enghave,1
2506318,12828924,Unique retro style apt. in hip area,Nrrebro,0
2512537,12765947,Lyst og luftigt hus i fredelig oase,Vesterbro-Kongens Enghave,4
2520615,12852838,Charming townhouse with garden in Copenhagen city,Indre By,1
2522519,12915575,Stylish apartment close to city & beach,Amager st,4
2527186,12941652,Have a lovely stay in Copenhagen,Brnshj-Husum,2
2529055,2116141,Danish Design | Unbeatable Location,Indre By,1
2552738,13069521,"Hyggelig, centralt og i grønt område",Indre By,0
2561650,13115831,Charmerende lejlighed med udsigt,Indre By,0
2575269,13187298,Large Apartment at Frederiksberg,Frederiksberg,1
2587820,11579858,Central spacious apartment,Vesterbro-Kongens Enghave,4
2589687,13258665,Huge luxury flat of an architect,Nrrebro,4
2592359,13271275,Large & lovely - great location!,sterbro,1
2604394,12437610,"Perfect location, cosy and stylish and with one of the largest bathrooms i town",Indre By,0
2616487,13399660,Bohemian studio flat by Royal Palace.,Indre By,1
2624948,12473711,Cosy apartment with amazing light,Nrrebro,0
2626050,2859639,A beautiful apartment in a historic building.,Amager st,4
2626616,9423368,Urban house with large sunny garden,Valby,4
2638161,8874344,"Spacious, kids' friendly, lake view",Brnshj-Husum,2
2639253,13161254,Wonderful house + nature in CPH.,Bispebjerg,2
2640839,11099594,Stor rummelig herskabslejlighed,Frederiksberg,4
2651522,5674496,Charming bohemian neighborhood,Nrrebro,2
2656272,13596296,Penthouse Norrebro and Roof Terrace,Nrrebro,0
2662023,13626498,Villa near city centre and beach,Amager st,2
2668266,13472358,Your temporary home in Vesterbro-Copenhagen,Vesterbro-Kongens Enghave,2
2668851,13661652,Charming old Copenhagen-apartme,Indre By,1
2676028,7381907,Vesterbro: Copenhagen's Pulse of Culture and Charm,Vesterbro-Kongens Enghave,2
2676941,13705758,tial 2 rooms. close to the all,Frederiksberg,0
2688924,13764446,Spacious 90m Apartment in Prime location.,Frederiksberg,0
2728314,2010512,"Bright, central and spacious - great view",Nrrebro,4
2734398,13992235,latin quarter apartment,Nrrebro,4
2736658,3546099,Great apt with big Balcony in Cph V,Vesterbro-Kongens Enghave,3
2745745,3409784,Spacious appartment with garden,Amager st,2
2746743,14052581,Copenhagen beauty,Amager Vest,4
2747297,11467525,Apartment on two levels with sunny roof terrace,Frederiksberg,4
2765999,6568419,Charming apartment - two bedrooms,Amager Vest,4
2783208,2915589,Apartment for families with kids,Nrrebro,0
2792486,2420689,Townhouse by beach close to center,Amager st,2
2805884,6907684,Children friendly apt Latin Quarter,Indre By,1
2806299,2932756,Beautiful and classic appartment,sterbro,4
2812158,14283437,"Central, light, charming!",Vesterbro-Kongens Enghave,4
2829732,3252857,Amazing penthouse w private terrace,Vesterbro-Kongens Enghave,1
2834713,14501177,"Dejligt værelse med have, 5 km til  Hovedbanegård",Valby,0
2836343,7594546,Cool villa in Copenhagen - between nature and city,Brnshj-Husum,2
2837212,14513785,Top Location in the center of Copenhagen,Indre By,2
2863844,12750040,Rækkehus med have ned til kanalen,Indre By,2
2865832,767273,Unique charming apartment,Indre By,0
2866645,14652591,Roms for rent,sterbro,0
2904267,14838720,Beautiful apartment with perfect location,Indre By,0
